anonymous_id,context_ci_run,context_cpu,context_exec_info,context_library_name,context_library_version,context_os_name,context_os_version,context_python,elapsed,event,event_category,event_name,event_text,id,loaded_at,operation,original_timestamp,received_at,sent_at,success,timestamp,uuid_ts
8c45f93d27f72347a3604521e2d4c33b,FALSE,4,[],python-dlt,0.2.0a27,Darwin,21.6.0,3.11.2,0.000001907348633,command_pipeline,command,pipeline,command_pipeline,api-2NKicgFywAnS8ZXi1XgVjAyaOwg,3/27/2023 13:40:45,show,<nil>,3/21/2023 17:20:55,3/21/2023 17:20:54,TRUE,3/21/2023 17:20:55,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,FALSE,4,[],python-dlt,0.2.0a27,Darwin,21.6.0,3.11.2,0.0000009536743164,command_pipeline,command,pipeline,command_pipeline,api-2NKWcK8YyqMKR59QVDC095f8xZx,3/27/2023 13:40:45,show,<nil>,3/21/2023 15:42:11,3/21/2023 15:42:11,TRUE,3/21/2023 15:42:11,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,FALSE,4,[],python-dlt,0.2.0a27,Darwin,21.6.0,3.11.2,0.000001192092896,command_pipeline,command,pipeline,command_pipeline,api-2NKigKt0GFS7R5xLlrsrluFC08T,3/27/2023 13:40:45,show,<nil>,3/21/2023 17:21:24,3/21/2023 17:21:24,TRUE,3/21/2023 17:21:24,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,FALSE,4,[],python-dlt,0.2.0a27,Darwin,21.6.0,3.11.2,0.0000009536743164,command_pipeline,command,pipeline,command_pipeline,api-2NKjUtNgSoOGMGF48YQqIuXchGI,3/27/2023 13:40:45,show,<nil>,3/21/2023 17:28:06,3/21/2023 17:28:05,TRUE,3/21/2023 17:28:06,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,FALSE,4,[],python-dlt,0.2.0a27,Darwin,21.6.0,3.11.2,0.000002145767212,command_pipeline,command,pipeline,command_pipeline,api-2NKXViLBK2Mgi9IOfSYR6XrUty7,3/27/2023 13:40:45,show,<nil>,3/21/2023 15:49:32,3/21/2023 15:49:31,TRUE,3/21/2023 15:49:32,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,FALSE,4,[],python-dlt,0.2.0a27,Darwin,21.6.0,3.11.2,0.000002145767212,command_pipeline,command,pipeline,command_pipeline,api-2NKjWjYKCsXBY29VHuZ7Wn6IL2d,3/27/2023 13:40:45,show,<nil>,3/21/2023 17:28:21,3/21/2023 17:28:21,TRUE,3/21/2023 17:28:21,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,FALSE,4,[],python-dlt,0.2.0a27,Darwin,21.6.0,3.11.2,0.000001192092896,command_pipeline,command,pipeline,command_pipeline,api-2NKirB17dYFXymB7sQ0gtjroxtx,3/27/2023 13:40:45,show,<nil>,3/21/2023 17:22:50,3/21/2023 17:22:50,TRUE,3/21/2023 17:22:50,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,FALSE,4,[],python-dlt,0.2.0a27,Darwin,21.6.0,3.11.2,0.0000009536743164,command_pipeline,command,pipeline,command_pipeline,api-2NKiiPZMT8L69qNPrMIymfQpAMd,3/27/2023 13:40:45,show,<nil>,3/21/2023 17:21:39,3/21/2023 17:21:39,TRUE,3/21/2023 17:21:39,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,FALSE,10,[],python-dlt,0.2.0a27,Darwin,21.3.0,3.9.10,0.0000009536743164,command_pipeline,command,pipeline,command_pipeline,api-2NJPNbvPxHsgIgB7Wl3TX4vBBa6,3/27/2023 13:40:45,sync,<nil>,3/21/2023 6:12:52,3/21/2023 6:12:51,TRUE,3/21/2023 6:12:52,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,FALSE,10,[],python-dlt,0.2.0a27,Darwin,21.3.0,3.9.10,0.0000009536743164,command_pipeline,command,pipeline,command_pipeline,api-2NJPOKzDuH8ZjDXCoZD3i148Lu8,3/27/2023 13:40:45,sync,<nil>,3/21/2023 6:12:58,3/21/2023 6:12:57,TRUE,3/21/2023 6:12:58,3/27/2023 13:40:45
