anonymous_id,context_app_name,context_app_version,context_ci_run,context_cpu,context_exec_info,context_library_name,context_library_version,context_os_name,context_os_version,context_python,event,event_text,id,loaded_at,original_timestamp,received_at,sent_at,timestamp,uuid_ts
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,10,[],python-dlt,0.2.0a28,Darwin,21.3.0,3.9.10,pipeline_load,pipeline_load,api-2NXcezgvn6FZ1O5C7hLWocgvlSo,3/27/2023 13:40:45,<nil>,3/26/2023 6:59:26,3/26/2023 6:59:25,3/26/2023 6:59:26,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,10,[],python-dlt,0.2.0a27,Darwin,21.3.0,3.9.10,pipeline_load,pipeline_load,api-2NXmw4jWaCKWX2x2ZfDVEYEg5Dp,3/27/2023 13:40:45,<nil>,3/26/2023 8:23:54,3/26/2023 8:23:54,3/26/2023 8:23:54,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,10,[],python-dlt,0.2.0a28,Darwin,21.3.0,3.9.10,pipeline_load,pipeline_load,api-2NXmd6gMehyRUTB0qKNryd8A0B5,3/27/2023 13:40:45,<nil>,3/26/2023 8:21:25,3/26/2023 8:21:24,3/26/2023 8:21:25,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,4,[],python-dlt,0.2.0a27,Darwin,21.6.0,3.9.11,pipeline_load,pipeline_load,api-2NYAoZksZFoSwo8pirOxdeijsy7,3/27/2023 13:40:45,<nil>,3/26/2023 11:40:18,3/26/2023 11:40:17,3/26/2023 11:40:18,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,4,[],python-dlt,0.2.0a27,Darwin,21.6.0,3.9.11,pipeline_load,pipeline_load,api-2NYAoSRO4shvtmKQZpMuXLpvZG7,3/27/2023 13:40:45,<nil>,3/26/2023 11:40:15,3/26/2023 11:40:15,3/26/2023 11:40:15,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,16,[],python-dlt,0.2.0a27,Linux,5.19.0-32-generic,3.10.6,pipeline_load,pipeline_load,api-2NYEsAjuuxJeIZFiD4xu18umjf2,3/27/2023 13:40:45,<nil>,3/26/2023 12:13:39,3/26/2023 12:13:39,3/26/2023 12:13:39,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,16,[],python-dlt,0.2.0a27,Linux,5.19.0-32-generic,3.10.6,pipeline_load,pipeline_load,api-2NYEN9NDBgWuRxKsfFEsD1yjVnm,3/27/2023 13:40:45,<nil>,3/26/2023 12:09:32,3/26/2023 12:09:31,3/26/2023 12:09:32,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,16,"[""notebook""]",python-dlt,0.2.0a27,Linux,5.19.0-32-generic,3.10.6,pipeline_load,pipeline_load,api-2NZI5hm5YkkEY9ZimihUG0VxI1c,3/27/2023 13:40:45,<nil>,3/26/2023 21:09:55,3/26/2023 21:09:54,3/26/2023 21:09:55,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,16,"[""notebook""]",python-dlt,0.2.0a27,Linux,5.19.0-32-generic,3.10.6,pipeline_load,pipeline_load,api-2NZI5WE2H5YStJDRqZwQzukVbdA,3/27/2023 13:40:45,<nil>,3/26/2023 21:09:54,3/26/2023 21:09:53,3/26/2023 21:09:54,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,16,"[""notebook""]",python-dlt,0.2.0a27,Linux,5.19.0-32-generic,3.10.6,pipeline_load,pipeline_load,api-2NZG0vZoYyN2QMN9dCS00pppcT8,3/27/2023 13:40:45,<nil>,3/26/2023 20:52:50,3/26/2023 20:52:50,3/26/2023 20:52:50,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,16,"[""notebook""]",python-dlt,0.2.0a27,Linux,5.19.0-32-generic,3.10.6,pipeline_load,pipeline_load,api-2NZG0h3o7coftamlRWVYmc7bYzP,3/27/2023 13:40:45,<nil>,3/26/2023 20:52:49,3/26/2023 20:52:48,3/26/2023 20:52:49,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,8,[],python-dlt,0.2.0a28,Linux,4.19.128-microsoft-standard,3.8.11,pipeline_load,pipeline_load,api-2NZS9DcjM48jG9pmYe9v22XTs6w,3/27/2023 13:40:45,<nil>,3/26/2023 22:32:36,3/26/2023 22:32:36,3/26/2023 22:32:36,3/27/2023 13:40:45
8c45f93d27f72347a3604521e2d4c33b,,,FALSE,8,[],python-dlt,0.2.0a28,Linux,4.19.128-microsoft-standard,3.8.11,pipeline_load,pipeline_load,api-2NZQYbLknhFlpEYPnXHies1snPl,3/27/2023 13:40:45,<nil>,3/26/2023 22:19:32,3/26/2023 22:19:31,3/26/2023 22:19:32,3/27/2023 13:40:45
